course_id,course_name,platform,domain,difficulty_level,skills_covered,topics,prerequisites,duration_hours,rating,min_year,min_preparedness_cgpa,career_tags,learning_outcomes,certificate_Available,hands_on_project
C012,Google Cloud Data Engineering (Intro),Coursera,Cloud Computing,Intermediate,GCP; Data Pipelines; BigQuery; Dataflow Basics,Data Warehousing; ETL; Streaming Concepts,SQL; Python basics,30,4.4,2,7,Data Engineer; Cloud Data Engineer,Design basic pipelines on GCP; Use BigQuery for analytics,Yes,Yes
C013,Docker & Kubernetes for Developers,Udemy,DevOps,Intermediate,Docker; Kubernetes; CI/CD Concepts; Containers,Images; Pods; Deployments; Helm Basics,Linux basics; Networking basics,35,4.6,2,7,DevOps Engineer; Platform Engineer,Containerize apps; Deploy and scale services on Kubernetes,Yes,Yes
C014,CI/CD with GitHub Actions,LinkedIn Learning,DevOps,Beginner,GitHub Actions; YAML; Testing Automation,Workflows; Runners; Secrets; Deployments,Git basics,8,4.3,2,6.8,DevOps Engineer; Software Engineer,Automate builds and tests; Create simple deployment pipelines,Yes,Yes
C015,Cybersecurity Fundamentals,edX,Cybersecurity,Beginner,Threats; Networking; Security Principles,CIA Triad; Malware; Phishing; Secure Browsing,Basic computer literacy,20,4.4,1,6,Security Analyst; IT Support,Recognize common attacks; Apply foundational security hygiene,Yes,No
C016,Ethical Hacking: Web App Pentesting,Udemy,Cybersecurity,Advanced,OWASP; Burp Suite; Recon; Exploitation,SQLi; XSS; CSRF; Auth Testing,Networking; Linux; Cybersecurity basics,40,4.5,3,7.5,Penetration Tester; AppSec Engineer,Perform structured web app tests; Write actionable findings,Yes,Yes
C017,Data Structures & Algorithms in C++,Coursera,Software Engineering,Intermediate,C++; DSA; Complexity Analysis,Arrays; Trees; Graphs; DP; Sorting,Programming basics; Discrete math (helpful),45,4.7,2,7.2,Software Engineer; SDE,Solve interview-style problems; Optimize solutions using complexity analysis,Yes,Yes
C018,System Design Interview Prep,Educative,Software Engineering,Advanced,System Design; Scalability; Distributed Systems,Caching; Load Balancing; Databases; Messaging,DSA; Backend basics,25,4.6,3,7.5,Backend Engineer; SDE,Design scalable systems; Make trade-offs across performance and reliability,Yes,No
C019,Introduction to Product Management,Coursera,Product Management,Beginner,Roadmapping; User Research; Metrics,MVP; PRDs; A/B Testing; Stakeholder Management,None,12,4.4,2,6.5,Product Manager; Business Analyst,Define product problems; Write clear requirements; Track success metrics,Yes,No
C020,UI/UX Design: Prototyping with Figma,Udemy,Design,Beginner,Figma; Prototyping; Design Systems,Wireframes; Components; Usability Testing,None,18,4.6,1,6,UI/UX Designer; Product Designer,Create interactive prototypes; Apply basic UX heuristics,Yes,Yes
C021,Android Development with Kotlin,Coursera,Mobile Development,Intermediate,Kotlin; Android SDK; MVVM,Activities; Fragments; Jetpack; Room,OOP basics; Kotlin basics (preferred),50,4.5,2,7,Android Developer; Mobile Engineer,Build Android apps using MVVM; Persist data and ship a working APK,Yes,Yes
C022,iOS App Development with SwiftUI,Udemy,Mobile Development,Intermediate,Swift; SwiftUI; App Architecture,Views; State; Networking; Persistence,Programming basics; MacOS environment,45,4.4,2,7,iOS Developer; Mobile Engineer,Create SwiftUI apps; Integrate APIs; Manage state and data storage,Yes,Yes
C023,Statistics for Data Science,Khan Academy,Data Science,Beginner,Probability; Descriptive Stats; Hypothesis Testing,Distributions; Confidence Intervals; p-values,High school math,25,4.7,1,6.3,Data Analyst; Data Scientist,Interpret statistical results; Choose appropriate tests for common scenarios,No,No
C024,Natural Language Processing with Python,DataCamp,AI/ML,Intermediate,NLP; Text Preprocessing; Vectorization,Tokenization; TF-IDF; Topic Modeling; Word Embeddings,Python; Basic ML,20,4.5,3,7.4,NLP Engineer; Data Scientist,Build text pipelines; Train baseline NLP models; Evaluate language tasks,Yes,Yes
C025,Computer Vision with OpenCV,Udemy,AI/ML,Intermediate,OpenCV; Image Processing; Feature Extraction,Filtering; Edge Detection; Object Tracking,Python; Linear algebra basics,26,4.3,3,7.3,Computer Vision Engineer; AI Engineer,Process images and video; Implement classic CV algorithms and pipelines,Yes,Yes
C026,Blockchain Basics and Smart Contracts,Coursera,Blockchain,Intermediate,Ethereum; Solidity; Smart Contracts,Transactions; Gas; ERC Standards; Security Basics,Programming basics; Web basics,22,4.2,3,7.2,Blockchain Developer; Web3 Engineer,Write and deploy smart contracts; Understand blockchain trade-offs,Yes,Yes
C027,Data Engineering with Apache Spark,Databricks Academy,Data Engineering,Advanced,Spark; PySpark; Distributed Processing,RDD vs DataFrame; Partitioning; Optimization,Python; SQL; Data engineering basics,35,4.6,3,7.6,Data Engineer; Analytics Engineer,Build scalable ETL with Spark; Optimize jobs for performance and cost,Yes,Yes
C028,MLOps: Model Deployment & Monitoring,Coursera,AI/ML,Advanced,MLOps; Deployment; Monitoring; CI/CD,Model Serving; Drift Detection; Pipelines; Registry,ML fundamentals; Docker basics,32,4.5,4,7.8,MLOps Engineer; ML Engineer,Deploy models reliably; Monitor performance; Automate retraining workflows,Yes,Yes
C029,Cybersecurity: Network Defense Lab,TryHackMe,Cybersecurity,Intermediate,Network Security; SIEM Basics; Incident Response,Firewall Rules; IDS/IPS; Log Analysis,Cybersecurity fundamentals; Networking basics,15,4.7,2,7,SOC Analyst; Network Security Engineer,Analyze alerts and logs; Apply defensive controls in lab environments,Yes,Yes
C030,GenAI Prompt Engineering for Developers,DeepLearning.AI,AI/ML,Beginner,Prompting; LLM APIs; Evaluation,Prompt Patterns; Guardrails; RAG Basics,Python basics (helpful),10,4.6,2,6.8,AI Engineer; Software Engineer,Design robust prompts; Build small LLM-powered utilities; Evaluate outputs,Yes,Yes
C031,React Native: Build Cross-Platform Apps,Udemy,Mobile Development,Intermediate,JavaScript; React Native; Mobile UI; API Integration,Navigation; State Management; Push Notifications; Deployment,JavaScript fundamentals; React basics,38,4.4,2,6.9,Mobile Developer; Full-Stack Developer,Create cross-platform apps; Integrate REST APIs; Publish to app stores (overview),Yes,Yes
C032,R Programming for Statistics,Coursera,Data Science,Beginner,R; Data Wrangling; Visualization; Descriptive Stats,tibbles; ggplot2; Hypothesis Testing Basics,None,20,4.5,1,6.2,Data Analyst; Research Analyst,Analyze datasets in R; Visualize findings; Perform basic statistical tests,Yes,Yes
C033,Tableau for Business Dashboards,DataCamp,Business Intelligence,Intermediate,Tableau; Data Visualization; Storytelling; KPI Design,Calculated Fields; Filters; Parameters; Dashboards,Basic spreadsheets; Data concepts,16,4.6,2,6.7,BI Analyst; Reporting Analyst,Build interactive dashboards; Communicate insights with stories,Yes,Yes
C034,Linux Command Line Essentials,Codecademy,DevOps,Beginner,Linux; Shell; File Permissions; Process Management,Bash Basics; Pipes; SSH; Package Managers,None,12,4.4,1,6,DevOps Engineer; System Administrator,Navigate and manage Linux systems; Automate common tasks with shell commands,Yes,Yes
C035,Networking Fundamentals (CCNA Intro),Cisco Networking Academy,Networking,Beginner,IP Addressing; Routing Basics; Switching; Troubleshooting,OSI Model; Subnetting; VLAN Basics; CLI Basics,Basic computer literacy,30,4.6,1,6,Network Engineer; IT Support,Understand core networking concepts; Configure basic network devices in labs,Yes,Yes
C036,Applied Regression Analysis,edX,Data Science,Advanced,Regression; Statistical Modeling; Diagnostics; Interpretation,Multiple Regression; Regularization Intro; Assumptions; Model Selection,Statistics; Linear algebra basics,28,4.3,3,7.5,Data Scientist; Quant Analyst,Fit and interpret regression models; Validate assumptions; Communicate model results,Yes,No
C037,FinTech Foundations: Digital Payments & Lending,Coursera,Finance,Beginner,FinTech; Risk Basics; Payment Systems; Compliance,Payment Rails; KYC/AML Overview; Credit Scoring Intro,None,14,4.2,2,6.4,FinTech Analyst; Business Analyst,Explain how modern payment systems work; Identify key risks and regulations,Yes,No
C038,Digital Marketing Analytics,Google Digital Garage,Marketing,Beginner,Marketing Metrics; Google Analytics Basics; Attribution; Segmentation,Funnels; Campaign Tracking; Dashboards; Experiment Basics,None,10,4.4,1,6,Marketing Analyst; Growth Analyst,Measure campaign performance; Set up basic analytics tracking; Interpret marketing KPIs,Yes,No
C039,Advanced Excel for Data Analysts,LinkedIn Learning,Business Intelligence,Intermediate,Excel; PivotTables; Power Query; Forecasting,Data Cleaning; Lookup Patterns; What-If Analysis; Charts,Basic Excel,18,4.5,1,6.3,Data Analyst; Operations Analyst,Clean and model data in Excel; Build automated reports with Power Query,Yes,Yes
C040,Building Web APIs with ASP.NET Core,Pluralsight,Software Engineering,Intermediate,C#; ASP.NET Core; REST; Authentication,Controllers; Middleware; EF Core; JWT,C# basics; HTTP basics; SQL basics,26,4.4,2,7,Backend Engineer; .NET Developer,Create secure REST APIs; Connect to databases; Structure services for maintainability,Yes,Yes
C041,Go Programming for Backend Development,Udemy,Software Engineering,Intermediate,Go; Concurrency; REST APIs; Testing,Goroutines; Channels; HTTP Servers; Benchmarking,Programming basics; HTTP basics,24,4.5,2,7.1,Backend Engineer; Platform Engineer,Build fast backend services in Go; Write tests and handle concurrency safely,Yes,Yes
C042,Terraform: Infrastructure as Code (Hands-on),HashiCorp Learn,DevOps,Intermediate,Terraform; IaC; Cloud Provisioning; State Management,Providers; Modules; Workspaces; Remote State,Cloud basics (AWS/Azure/GCP helpful),16,4.6,2,7,DevOps Engineer; Cloud Engineer,Provision infrastructure reproducibly; Organize configs with modules; Manage state safely,Yes,Yes
C043,Data Warehousing on Snowflake,Snowflake University,Data Engineering,Intermediate,Snowflake; SQL; Warehousing; Data Modeling,Virtual Warehouses; Clustering; Time Travel; Role-Based Access,SQL basics; Data warehousing basics (helpful),14,4.4,3,7.2,Data Engineer; Analytics Engineer,Load and query data in Snowflake; Model datasets for analytics; Apply access controls,Yes,Yes
C044,Apache Kafka for Event Streaming,Confluent,Data Engineering,Advanced,Kafka; Streaming; Pub/Sub; Reliability,Topics; Partitions; Consumer Groups; Exactly-Once Concepts,Java or Python basics; Networking basics,22,4.5,3,7.6,Streaming Engineer; Data Engineer,Design event-driven pipelines; Tune producers/consumers; Monitor streaming applications,Yes,Yes
C045,UX Research Methods: From Interviews to Usability,Interaction Design Foundation,Design,Intermediate,UX Research; Interviewing; Usability Testing; Synthesis,Personas; Journey Maps; Affinity Mapping; Research Plans,None,12,4.7,2,6.5,UX Researcher; Product Designer,Plan and run research; Convert findings into actionable design recommendations,Yes,No
C046,Agile Scrum Master (Certification Prep),Udemy,Project Management,Beginner,Scrum; Agile; Facilitation; Stakeholder Management,Ceremonies; Backlog Refinement; Estimation; Metrics,None,8,4.3,2,6.2,Scrum Master; Project Manager,Run Scrum ceremonies; Coach teams on Agile practices; Prepare for Scrum exams,Yes,No
C047,Introduction to Quantum Computing,edX,Emerging Tech,Advanced,Quantum Concepts; Qubits; Gates; Algorithms,Superposition; Entanglement; Grover; QFT Overview,Linear algebra; Basic programming,20,4.2,4,7.8,Research Engineer; Quantum Developer,Explain core quantum computing ideas; Implement simple circuits in simulators,Yes,Yes
C048,Salesforce Administrator Fundamentals,Trailhead,CRM,Beginner,Salesforce; CRM; Automation; Reporting,Objects; Flows; Profiles; Dashboards,None,25,4.7,1,6,Salesforce Admin; CRM Analyst,Configure Salesforce orgs; Automate workflows; Build reports and dashboards,Yes,Yes
C049,HR Analytics with Python,Coursera,Data Science,Intermediate,People Analytics; Python; Visualization; Predictive Basics,Attrition Modeling Intro; Surveys; Cohort Analysis,Intro Python; Basic stats,18,4.4,3,7.2,HR Analyst; People Data Analyst,Analyze HR datasets; Build simple attrition models; Communicate workforce insights,Yes,Yes
C050,Building LLM Apps with LangChain,DeepLearning.AI,AI/ML,Intermediate,LangChain; LLM APIs; RAG; Evaluation,Prompt Templates; Retrieval; Agents; Guardrails,Python basics; Prompting basics,14,4.6,3,7.4,AI Engineer; Software Engineer,Build RAG pipelines; Connect tools and memory; Evaluate and harden LLM applications,Yes,Yes
